iter	Passed	Remaining
715	4382	1738
716	4388	1732
717	4393	1725
718	4400	1719
719	4407	1713
720	4414	1708
721	4422	1702
722	4428	1696
723	4435	1690
724	4440	1684
725	4447	1678
726	4453	1672
727	4459	1666
728	4466	1660
729	4472	1654
730	4478	1648
731	4484	1641
732	4490	1635
733	4497	1629
734	4504	1623
735	4510	1618
736	4517	1612
737	4523	1605
738	4529	1599
739	4536	1593
740	4543	1587
741	4549	1581
742	4556	1576
743	4563	1570
744	4570	1564
745	4578	1558
746	4585	1553
747	4593	1547
748	4600	1541
749	4606	1535
750	4612	1529
751	4619	1523
752	4625	1517
753	4632	1511
754	4638	1505
755	4644	1499
756	4650	1492
757	4656	1486
758	4663	1480
759	4669	1474
760	4675	1468
761	4680	1461
762	4686	1455
763	4692	1449
764	4698	1443
765	4705	1437
766	4711	1431
767	4717	1425
768	4722	1418
769	4729	1412
770	4735	1406
771	4741	1400
772	4748	1394
773	4753	1388
774	4760	1382
775	4766	1375
776	4771	1369
777	4777	1363
778	4784	1357
779	4790	1351
780	4797	1345
781	4803	1339
782	4809	1333
783	4816	1326
784	4822	1320
785	4827	1314
786	4834	1308
787	4840	1302
788	4847	1296
789	4851	1289
790	4858	1283
791	4864	1277
792	4871	1271
793	4877	1265
794	4884	1259
795	4890	1253
796	4897	1247
797	4903	1241
798	4908	1234
799	4914	1228
800	4920	1222
801	4927	1216
802	4933	1210
803	4938	1203
804	4945	1197
805	4951	1191
806	4958	1185
807	4964	1179
808	4970	1173
809	4976	1167
810	4982	1161
811	4989	1155
812	4995	1149
813	5001	1142
814	5007	1136
815	5013	1130
816	5019	1124
817	5026	1118
818	5032	1112
819	5039	1106
820	5045	1100
821	5051	1093
822	5058	1087
823	5064	1081
824	5070	1075
825	5076	1069
826	5083	1063
827	5089	1057
828	5094	1050
829	5099	1044
830	5106	1038
831	5112	1032
832	5118	1026
833	5137	1022
834	5154	1018
835	5166	1013
836	5182	1009
837	5192	1003
838	5203	998
839	5261	1002
840	5291	1000
841	5313	997
842	5328	992
843	5340	987
844	5349	981
845	5358	975
846	5365	969
847	5373	963
848	5382	957
849	5390	951
850	5397	945
851	5404	938
852	5413	932
853	5425	927
854	5440	922
855	5456	917
856	5467	912
857	5478	906
858	5486	900
859	5494	894
860	5504	888
861	5513	882
862	5523	876
863	5532	870
864	5541	864
865	5550	858
866	5559	852
867	5565	846
868	5573	840
869	5580	833
870	5587	827
871	5595	821
872	5602	815
873	5612	809
874	5621	803
875	5630	797
876	5637	790
877	5644	784
878	5652	778
879	5659	771
880	5668	765
881	5678	759
882	5706	756
883	5720	750
884	5734	745
885	5751	740
886	5766	734
887	5778	728
888	5794	723
889	5802	717
890	5809	710
891	5817	704
892	5824	697
893	5831	691
894	5839	685
895	5846	678
896	5853	672
897	5859	665
898	5865	658
899	5872	652
900	5878	645
901	5885	639
902	5891	632
903	5899	626
904	5905	619
905	5912	613
906	5918	606
907	5925	600
908	5931	593
909	5937	587
910	5943	580
911	5950	574
912	5955	567
913	5961	560
914	5968	554
915	5974	547
916	5980	541
917	5986	534
918	5992	528
919	5998	521
920	6004	515
921	6010	508
922	6016	501
923	6022	495
924	6029	488
925	6035	482
926	6042	475
927	6048	469
928	6055	462
929	6061	456
930	6067	449
931	6072	443
932	6079	436
933	6085	430
934	6092	423
935	6098	417
936	6104	410
937	6111	403
938	6117	397
939	6124	390
940	6130	384
941	6136	377
942	6143	371
943	6149	364
944	6155	358
945	6161	351
946	6167	345
947	6174	338
948	6181	332
949	6188	325
950	6194	319
951	6201	312
952	6207	306
953	6213	299
954	6219	293
955	6226	286
956	6232	280
957	6239	273
958	6245	267
959	6252	260
960	6258	253
961	6265	247
962	6271	240
963	6277	234
964	6284	227
965	6291	221
966	6297	214
967	6304	208
968	6310	201
969	6317	195
970	6324	188
971	6330	182
972	6336	175
973	6342	169
974	6349	162
975	6355	156
976	6362	149
977	6369	143
978	6376	136
979	6382	130
980	6390	123
981	6397	117
982	6403	110
983	6409	104
984	6415	97
985	6421	91
986	6426	84
987	6431	78
988	6439	71
989	6446	65
990	6452	58
991	6459	52
992	6466	45
993	6472	39
994	6479	32
995	6485	26
996	6492	19
997	6499	13
998	6505	6
999	6512	0
